iter	RMSE
0	42.04023947
1	41.74804474
2	41.4536832
3	41.15801552
4	40.91530606
5	40.70199203
6	40.4699143
7	40.24656409
8	40.0325028
9	39.82241562
10	39.62500192
11	39.47292567
12	39.30288982
13	39.18297597
14	39.07832312
15	38.93670738
16	38.80179906
17	38.65576848
18	38.53109374
19	38.3995506
20	38.28450235
21	38.16020579
22	38.05898522
23	37.95085644
24	37.88252198
25	37.82460999
26	37.73283731
27	37.62910741
28	37.54948429
29	37.48031852
30	37.39950238
31	37.31244509
32	37.24733373
33	37.18793534
34	37.13309226
35	37.07252074
36	37.00726741
37	36.9735967
38	36.92790157
39	36.86786377
40	36.81216516
41	36.76165608
42	36.73310878
43	36.69940366
44	36.65244926
45	36.6297569
46	36.58714958
47	36.53031007
48	36.49758202
49	36.46842136
50	36.42096076
51	36.40167554
52	36.35570498
53	36.34507967
54	36.31402335
55	36.28181462
56	36.2407911
57	36.21015227
58	36.18436828
59	36.15995721
60	36.14326704
61	36.12120466
62	36.09562386
63	36.06195883
64	36.03078252
65	36.00245962
66	35.97768036
67	35.92924155
68	35.89253594
69	35.86739748
70	35.85550996
71	35.83295679
72	35.80270184
73	35.78277722
74	35.75322031
75	35.73737058
76	35.71209397
77	35.68466841
78	35.65619527
79	35.63050344
80	35.60318372
81	35.5844306
82	35.56292245
83	35.54376716
84	35.53061921
85	35.5135221
86	35.49974994
87	35.49082856
88	35.47326724
89	35.4567635
90	35.45095759
91	35.43699413
92	35.41320349
93	35.39968401
94	35.3924457
95	35.39030381
96	35.3738427
97	35.35907709
98	35.33843112
99	35.32822211
100	35.31240511
101	35.31016762
102	35.2899492
103	35.27915681
104	35.26589791
105	35.25306836
106	35.24426167
107	35.23148483
108	35.20821156
109	35.19085844
110	35.18604127
111	35.17674114
112	35.17326453
113	35.15635203
114	35.14219368
115	35.1237
116	35.10268475
117	35.08432087
118	35.06575126
119	35.03790719
120	35.03139812
121	35.0186228
122	35.00574541
123	34.99662767
124	34.98078818
125	34.95582488
126	34.94348238
127	34.926485
128	34.91464243
129	34.90042607
130	34.89017679
131	34.86587439
132	34.85719062
133	34.83846371
134	34.83755464
135	34.82212063
136	34.80248889
137	34.79929475
138	34.79847397
139	34.78377141
140	34.76885665
141	34.75771307
142	34.74972834
143	34.74149123
144	34.73234219
145	34.72168909
146	34.71715469
147	34.71103637
148	34.7061993
149	34.68532966
150	34.67502421
151	34.66481415
152	34.65879089
153	34.65185353
154	34.64034052
155	34.62650908
156	34.62568172
157	34.62465252
158	34.62317477
159	34.61656151
160	34.60223487
